ChenYuluoyan-Thin,ChenYuluoyan-Thin_0100.ttf,"['zh-HK', 'zh-TW']"
E851Gkktt,851Gkktt_005.ttf,"['ja']"
KokoroMincho,Kokoro_0100.otf,"['ja']"
HannariMincho,HannariMincho-Regular_0100.otf,"['ja']"
E851MkPOP,851MkPOP_101.ttf,"['ja']"
E851H-kktt,851H-kktt_004.ttf,"['ja']"
E851CHIKARA-YOWAKU,851CHIKARA-YOWAKU_002.ttf,"['ja']"
E851CHIKARA-DZUYOKU-A,851CHIKARA-DZUYOKU_kanaA_004.ttf,"['ja']"
E851CHIKARA-DZUYOKU-B,851CHIKARA-DZUYOKU_kanaB_004.ttf,"['ja']"
E851tegaki-zatsu,851tegaki_zatsu_normal_0883.ttf,"['ja']"
huninn,jf-openhuninn_0110.ttf,"['zh-HK', 'zh-TW']"
MaoKenTangYuan,MaoKenTangYuan-beta0.12-20210702.ttf,"['zh-CN']"
TsukuhouMincho,TsukuhouMincho-Regular-1002.ttf,"['ja']"
